Account Name,Account Type,Detail Type,Account Number,Description
Direct Labor - Overtime,Cost of Goods Sold,Supplies & Materials - COGS,50120,Direct labor - overtime hours
Direct Labor - Premium,Cost of Goods Sold,Supplies & Materials - COGS,50130,Direct labor - premium/holiday pay
Payroll Taxes - Direct,Cost of Goods Sold,Supplies & Materials - COGS,50200,Employer payroll taxes - direct labor
Workers Comp - Direct,Cost of Goods Sold,Supplies & Materials - COGS,50300,Workers compensation - direct labor
Benefits - Direct,Cost of Goods Sold,Supplies & Materials - COGS,50400,Employee benefits - direct labor
Union Dues and Fringes,Cost of Goods Sold,Supplies & Materials - COGS,50500,Union dues and fringe payments
Materials - Lumber and Framing,Cost of Goods Sold,Supplies & Materials - COGS,51100,Lumber and framing materials
Materials - Concrete and Masonry,Cost of Goods Sold,Supplies & Materials - COGS,51200,Concrete and masonry materials
Materials - Electrical,Cost of Goods Sold,Supplies & Materials - COGS,51300,Electrical materials
Materials - Plumbing,Cost of Goods Sold,Supplies & Materials - COGS,51400,Plumbing materials
Materials - HVAC,Cost of Goods Sold,Supplies & Materials - COGS,51500,HVAC materials
Materials - Roofing,Cost of Goods Sold,Supplies & Materials - COGS,51600,Roofing materials
Materials - Finishes and Trim,Cost of Goods Sold,Supplies & Materials - COGS,51700,Finish and trim materials
Materials - Hardware and Fasteners,Cost of Goods Sold,Supplies & Materials - COGS,51800,Hardware and fasteners
Materials - Other,Cost of Goods Sold,Supplies & Materials - COGS,51900,Other materials
Sub - Excavation and Sitework,Cost of Goods Sold,Supplies & Materials - COGS,52100,Subcontractor - excavation/sitework
Sub - Concrete,Cost of Goods Sold,Supplies & Materials - COGS,52200,Subcontractor - concrete
Sub - Steel and Structural,Cost of Goods Sold,Supplies & Materials - COGS,52300,Subcontractor - steel/structural
Sub - Framing,Cost of Goods Sold,Supplies & Materials - COGS,52400,Subcontractor - framing
Sub - Roofing,Cost of Goods Sold,Supplies & Materials - COGS,52500,Subcontractor - roofing
Sub - Electrical,Cost of Goods Sold,Supplies & Materials - COGS,52600,Subcontractor - electrical
Sub - Plumbing,Cost of Goods Sold,Supplies & Materials - COGS,52700,Subcontractor - plumbing
Sub - HVAC,Cost of Goods Sold,Supplies & Materials - COGS,52800,Subcontractor - HVAC
Sub - Drywall,Cost of Goods Sold,Supplies & Materials - COGS,52900,Subcontractor - drywall
Sub - Painting,Cost of Goods Sold,Supplies & Materials - COGS,53000,Subcontractor - painting
Sub - Flooring,Cost of Goods Sold,Supplies & Materials - COGS,53100,Subcontractor - flooring
Sub - Landscaping,Cost of Goods Sold,Supplies & Materials - COGS,53200,Subcontractor - landscaping
Sub - Other Trades,Cost of Goods Sold,Supplies & Materials - COGS,53300,Subcontractor - other trades
Equipment - Owned Charges,Cost of Goods Sold,Supplies & Materials - COGS,54100,Internal equipment charges to jobs
Equipment - Rental,Cost of Goods Sold,Supplies & Materials - COGS,54200,Rented equipment costs
Equipment - Fuel (Job),Cost of Goods Sold,Supplies & Materials - COGS,54300,Job site fuel costs
Small Tools - Job,Cost of Goods Sold,Supplies & Materials - COGS,54400,Small tools charged to jobs
Permits and Fees,Cost of Goods Sold,Supplies & Materials - COGS,55100,Building permits and fees
Testing and Inspection,Cost of Goods Sold,Supplies & Materials - COGS,55200,Testing and inspection costs
Job Site Utilities,Cost of Goods Sold,Supplies & Materials - COGS,55300,Temporary utilities at job site
Job Site Security,Cost of Goods Sold,Supplies & Materials - COGS,55400,Security costs at job site
Bonds - Job Specific,Cost of Goods Sold,Supplies & Materials - COGS,55500,Job-specific bond premiums
Insurance - Job Specific,Cost of Goods Sold,Supplies & Materials - COGS,55600,Job-specific insurance
Temporary Facilities,Cost of Goods Sold,Supplies & Materials - COGS,55700,Temporary job site facilities
Safety Equipment,Cost of Goods Sold,Supplies & Materials - COGS,55800,Safety equipment and supplies
Miscellaneous Direct Costs,Cost of Goods Sold,Supplies & Materials - COGS,55900,Other direct job costs
Salaries - Officers,Expenses,Payroll Expenses,60100,Officer salaries
Salaries - Office Staff,Expenses,Payroll Expenses,60200,Office staff salaries
Salaries - Estimating,Expenses,Payroll Expenses,60300,Estimating department salaries
Salaries - Project Management,Expenses,Payroll Expenses,60400,Project management salaries
Payroll Taxes - Overhead,Expenses,Payroll Expenses,60500,Employer payroll taxes - overhead
Benefits - Overhead,Expenses,Payroll Expenses,60600,Employee benefits - overhead
Workers Comp - Overhead,Expenses,Payroll Expenses,60700,Workers compensation - overhead
Rent - Office,Expenses,Rent or Lease of Buildings,61100,Office rent
Rent - Shop and Yard,Expenses,Rent or Lease of Buildings,61200,Shop and yard rent
Utilities,Expenses,Utilities,61300,Utilities expense
Property Taxes,Expenses,Taxes Paid,61400,Property tax expense
Repairs and Maintenance - Building,Expenses,Repair & Maintenance,61500,Building repairs and maintenance
Janitorial and Cleaning,Expenses,Repair & Maintenance,61600,Cleaning and janitorial services
Vehicle Expenses,Expenses,Auto,62100,Vehicle operating expenses
Fuel - Non-Job,Expenses,Auto,62200,Non-job fuel costs
Vehicle Repairs and Maintenance,Expenses,Auto,62300,Vehicle repairs and maintenance
Equipment Maintenance - Shop,Expenses,Repair & Maintenance,62400,Shop equipment maintenance
Depreciation - Vehicles,Expenses,Depreciation,62500,Vehicle depreciation expense
Depreciation - Equipment,Expenses,Depreciation,62600,Equipment depreciation expense
Office Supplies,Expenses,Office/General Administrative Expenses,63100,Office supplies
Postage and Shipping,Expenses,Office/General Administrative Expenses,63200,Postage and shipping costs
Telephone and Internet,Expenses,Office/General Administrative Expenses,63300,Phone and internet service
Software and Subscriptions,Expenses,Office/General Administrative Expenses,63400,Software and subscription costs
Printing and Reproduction,Expenses,Office/General Administrative Expenses,63500,Printing and copying costs
Bank Charges,Expenses,Bank Charges,63600,Bank service charges
Dues and Memberships,Expenses,Office/General Administrative Expenses,63700,Professional dues and memberships
Licenses - Business,Expenses,Licenses,63800,Business license fees
Training and Education,Expenses,Office/General Administrative Expenses,63900,Training and education costs
General Liability Insurance,Expenses,Insurance,64100,General liability insurance
Auto Insurance,Expenses,Insurance,64200,Vehicle insurance
Umbrella Insurance,Expenses,Insurance,64300,Umbrella liability insurance
Professional Liability,Expenses,Insurance,64400,Professional liability insurance
Bonding Premiums,Expenses,Insurance,64500,Surety bond premiums
Accounting and Bookkeeping,Expenses,Legal & Professional Fees,65100,Accounting and bookkeeping fees
Legal Fees,Expenses,Legal & Professional Fees,65200,Legal fees
Consulting,Expenses,Legal & Professional Fees,65300,Consulting fees
IT Services,Expenses,Legal & Professional Fees,65400,IT service fees
Advertising,Expenses,Advertising/Promotional,66100,Advertising expense
Website,Expenses,Advertising/Promotional,66200,Website costs
Signage,Expenses,Advertising/Promotional,66300,Signage and graphics
Trade Shows,Expenses,Advertising/Promotional,66400,Trade show costs
Entertainment - Business Development,Expenses,Entertainment,66500,Business development entertainment
Sponsorships and Donations,Expenses,Charitable Contributions,66600,Sponsorships and charitable donations
Bad Debt Expense,Expenses,Bad Debts,67100,Bad debt expense
Penalties and Fines,Expenses,Penalties & Settlements,67200,Penalties and fines
Miscellaneous Expense,Expenses,Other Miscellaneous Expense,67500,Other miscellaneous expenses
Interest Income,Other Income,Interest Earned,70000,Interest earned
Interest Expense,Other Expense,Other Miscellaneous Expense,70500,Interest paid
Gain Loss on Asset Disposal,Other Income,Other Miscellaneous Income,71000,Gain or loss on asset sales
